what's,what is
you're,you are
y'r,you are
damn'd,damned
ain't,am not
i've,i have
i'm,i am
don't,do not
we're,we are
it's,it is
he's,he is
gettin',getting
haven't,have not
can't,cannot
helpin',helping
won't,will not
that's,that is
somethin',something
i'd,i would
isn't,is not
shouldn't,should not
they're,they are
doesn't,does not
didn't,did not
she's,she is
who's,who is
there's,there is
poppin',popping
weren't,were not
y'all,you all
couldn't,could not
getting',getting
wouldn't,would not
how's,how is
wasn't,was not
we've,we have
he'd,he would
i'll,i will
aren't,are not
it'd,it would
we'll,we will
you'll,you will
let's,let us
it'll,it will
that'll,that will
workin',working
fellin',felling
you'd,you would
where's,where is
fuckin',fucking
hasn't,has not
we'd,we would
they'll,they will
c'mon,come on
youv'e,you have
doesn''t,does not have
'cause,because
hasnt',has not
when's,when is
would've,would have
tonight's,tonight is
im,i am
you've,you have
i'ma,i am going to
g'morning,good morning
should've,should have
hadn't,had not
smokin',smoking
sippin',sipping
ya'know,you know
ol',old
they'd,they would
mix'd,mixed
here's,here is
pop'em,pop them
this'll,this will
g'night,good night
why's,why is
that'd,that would
'cos,because
they've,they have
rec'd,recorded
knokin',knoking
want's,wants
appr'vd,approved
discont'd,discontinued
nothin',nothing
s'pose,suppose
what'll,what will
s'not,is not
must've,must have
how'd,how would
gon',going to
fuck's,fuck is
did'nt,did not
could've,could have
who've,who have
